⺁	{⺁} px
㤟	心曲 xq
㤠	心列 xl
㤡	心列 xl
㤢	心有 xy
㤣	心并 xb
㤤	忄臾 xy
㤥	忄亥 xh
㤦	忄吏 xl
㤧	心后 xh
㤨	忄共 xg
㤩	心各 xg
㤪	一怨 ay｜. xd
㤫	心有 xy
㤬	心圭 xg
㤭	忄乔 xq
㤮	心狂 xk
㤯	忄冏 xj
㤰	心作 xz
㤱	心豆 xd
㤲	心夾 xj
㤳	忄否 xf
㤴	. xv
㤵	心孜 xz
㤶	忄尨 xm
㤷	心含 xh
㤸	心赤 xi
㤹	忄求 xq
㤺	. xh
㤻	心卵 xl
㤼	忄劫 xj
㤽	心寿 xu
㤾	忄木 xm
㤿	心奄 xy
㥀	忄直 xv
㥁	. xy
㥂	. xd
㥃	忄門 xm
㥄	. xl
㥅	心受 xu
㥆	. xd
㥇	心戔 xj
㥈	心帖 xt
㥉	. xp
㥊	忄朋 xp
㥋	心依 xy
㥌	. xj
㥍	忄其 xq
㥎	. xl
㥏	心典 xd
㥐	心命 xm
㥑	. xb
㥒	忄采 xc
㥓	忄奇 xq
㥔	心育 xy
㥕	心炎 xy
㥖	. dc
㥗	. xw
㥘	心刃 xr
㥙	忄忠 xv
㥚	忄臾 xy
㥛	心亟 xj
㥜	忄胃 xw
㥝	心弭 xm
㥞	. xs
㥟	. xh
㥠	忄胥 xx
㥡	忄木 xm
㥢	心酋 xq
㥣	. xk
㥤	心矜 xj
